MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,GrLivArea,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,MoSold,YrSold,SaleType,SaleCondition,SalePrice,LogTransSalePrice,TotBaths,Ext,NeighbourhoodRank,ExtRank
60,RL,11924,Pave,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,Y,SBrkr,1142,0,2324,4,1,Ex,11,Typ,2,Gd,BuiltIn,Fin,3,TA,TA,Y,147,21,0,0,0,7,2006,New,Partial,345000,5.537819095073274,4.0,Wood,NridgHt,Wood
20,RL,12968,Pave,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,Y,SBrkr,0,0,912,2,1,TA,4,Typ,0,,Detchd,Unf,1,TA,TA,Y,140,0,0,0,176,9,2008,WD,Normal,144000,5.158362492095249,2.0,Wood,Sawyer,Wood
20,RL,10652,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,Ex,Y,SBrkr,0,0,1494,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,TA,TA,Y,160,33,0,0,0,8,2007,New,Partial,279500,5.446381812222442,2.0,Vinly,CollgCr,Vinly
20,RL,10920,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,TA,Y,SBrkr,0,0,1253,2,1,TA,5,Typ,1,Fa,Attchd,RFn,1,TA,TA,Y,0,213,176,0,0,5,2008,WD,Normal,157000,5.195899652409234,2.5,Metal,NAmes,Metal
45,RM,6120,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,GasA,Ex,Y,FuseA,0,0,854,2,1,TA,5,Typ,0,,Detchd,Unf,2,TA,TA,Y,48,112,0,0,0,7,2007,WD,Normal,132000,5.12057393120585,1.0,Wood,BrkSide,Wood
20,RL,11241,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,Ex,Y,SBrkr,0,0,1004,2,1,TA,5,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,0,0,0,0,0,3,2010,WD,Normal,149000,5.173186268412274,2.0,Wood,NAmes,Wood
90,RL,10791,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,,,,,0,,0,0,0,GasA,TA,Y,SBrkr,0,0,1296,2,2,TA,6,Typ,0,,CarPort,Unf,2,TA,TA,Y,0,0,0,0,0,10,2006,WD,Normal,90000,4.954242509439325,2.0,Metal,Sawyer,Metal
20,RL,13695,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,Ex,Y,SBrkr,0,0,1114,3,1,Gd,6,Typ,0,,Detchd,Unf,2,TA,TA,Y,0,102,0,0,0,6,2008,WD,Normal,159000,5.201397124320452,2.5,Vinly,SawyerW,Vinly
20,RL,7560,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,TA,Y,SBrkr,0,0,1339,3,1,TA,6,Min1,0,,Attchd,Unf,1,TA,TA,Y,0,0,0,0,0,5,2009,COD,Abnorml,139000,5.143014800254095,1.0,Brick,NAmes,Brick
60,RL,14215,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,Ex,Y,SBrkr,1218,0,2376,4,1,Gd,9,Typ,1,Gd,BuiltIn,RFn,3,TA,TA,Y,240,154,0,0,0,11,2006,New,Partial,325300,5.512284063281854,3.5,Vinly,NridgHt,Vinly
45,RM,7449,Pave,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,GasA,Ex,Y,FuseF,0,0,1108,3,1,Gd,6,Typ,1,Gd,Attchd,Unf,1,TA,TA,N,0,0,205,0,0,6,2007,WD,Normal,139400,5.144262773761991,1.0,Wood,IDOTRR,Wood
20,RL,9742,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,Ex,Y,SBrkr,0,0,1795,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,171,159,0,0,0,9,2008,WD,Normal,230000,5.361727836017593,2.0,Vinly,CollgCr,Vinly
120,RM,4224,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,GasA,TA,Y,SBrkr,0,0,1060,3,1,TA,6,Typ,1,TA,Attchd,Unf,2,TA,TA,Y,100,110,0,0,0,6,2007,WD,Normal,129900,5.113609151073028,2.0,Cement,MeadowV,Cement
20,RL,8246,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,GasA,Ex,Y,SBrkr,0,0,1060,3,1,Gd,6,Typ,1,TA,Attchd,Unf,1,TA,TA,Y,406,90,0,0,0,5,2010,WD,Normal,154000,5.187520720836463,2.0,Wood,Sawyer,Wood
20,RL,14230,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,GasA,Ex,Y,SBrkr,0,0,1600,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,TA,TA,Y,0,56,0,0,0,7,2009,WD,Normal,256300,5.408748606184244,2.0,Vinly,NridgHt,Vinly
20,RL,7200,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,GasA,TA,Y,SBrkr,0,0,900,3,1,Gd,5,Typ,0,,Detchd,Unf,2,TA,TA,Y,222,32,0,0,0,5,2010,WD,Normal,134800,5.129689892199301,1.5,Wood,NAmes,Wood
20,RL,11478,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,GasA,Ex,Y,SBrkr,0,0,1704,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,3,TA,TA,Y,0,50,0,0,0,5,2010,WD,Normal,306000,5.48572142648158,3.0,Vinly,NridgHt,Vinly
20,RL,16321,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,GasA,TA,Y,SBrkr,0,0,1600,2,1,TA,6,Typ,2,Gd,Attchd,RFn,1,TA,TA,Y,288,258,0,0,0,12,2006,WD,Normal,207500,5.317018101048111,2.0,Metal,NAmes,Metal
30,RM,6324,Pave,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,GasA,Fa,N,SBrkr,0,0,520,1,1,Fa,4,Typ,0,,Detchd,Unf,1,Fa,TA,Y,49,0,87,0,0,5,2008,WD,Normal,68500,4.835690571492425,1.0,Metal,BrkSide,Metal
70,C (all),8500,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,GasA,TA,N,SBrkr,668,0,1317,3,1,TA,6,Typ,0,,Detchd,Unf,1,TA,Fa,N,0,54,172,0,0,7,2008,WD,Normal,40000,4.6020599913279625,1.0,Brick,IDOTRR,Brick
20,RL,8544,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,GasA,Gd,Y,SBrkr,0,0,1228,3,1,Gd,6,Typ,0,,Attchd,Unf,1,TA,TA,Y,0,65,0,0,0,6,2008,WD,Normal,149350,5.174205226940147,1.5,Wood,Sawyer,Wood
20,RL,11049,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,GasA,Ex,Y,SBrkr,0,0,1234,3,1,Gd,7,Typ,0,,Attchd,RFn,2,TA,TA,Y,0,30,0,0,0,1,2008,WD,Normal,179900,5.255031163345551,2.0,Vinly,CollgCr,Vinly
20,RL,10552,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,1398,GasA,Gd,Y,SBrkr,0,0,1700,4,1,Gd,6,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,0,38,0,0,0,4,2010,WD,Normal,165500,5.218797998111738,2.0,Brick,NAmes,Brick
120,RL,7313,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,GasA,Ex,Y,SBrkr,0,0,1561,2,1,Ex,6,Typ,1,Gd,Attchd,Fin,2,TA,TA,Y,203,47,0,0,0,8,2007,WD,Normal,277500,5.443262987458695,3.0,Metal,NridgHt,Metal
60,RL,13418,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,GasA,Ex,Y,SBrkr,1320,0,2452,4,1,Gd,9,Typ,1,Gd,BuiltIn,Fin,3,TA,TA,Y,113,32,0,0,0,9,2006,WD,Normal,309000,5.489958479424835,3.5,Vinly,NridgHt,Vinly
20,RL,10859,Pave,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,GasA,Ex,Y,SBrkr,0,0,1097,3,1,TA,6,Typ,0,,Attchd,Unf,2,TA,TA,Y,392,64,0,0,0,6,2009,WD,Normal,145000,5.161368002234975,1.5,Vinly,CollgCr,Vinly
20,RL,8532,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,1297,GasA,Gd,Y,SBrkr,0,0,1297,3,1,TA,5,Typ,1,TA,Attchd,Fin,2,TA,TA,Y,0,0,0,0,0,10,2009,WD,Normal,153000,5.184691430817598,1.5,Wood,NAmes,Wood
20,RL,7922,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,GasA,TA,Y,SBrkr,0,0,1057,3,1,Gd,5,Typ,0,,Detchd,Unf,1,TA,TA,Y,0,52,0,0,0,1,2010,WD,Abnorml,109000,5.037426497940624,2.0,Vinly,NAmes,Vinly
90,RL,6040,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,,,,,0,,0,0,0,GasA,TA,N,FuseP,0,0,1152,2,2,Fa,6,Typ,0,,,,0,,,N,0,0,0,0,0,6,2008,WD,AdjLand,82000,4.913813852383717,2.0,Other,Edwards,Other
20,RL,8658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,GasA,Ex,Y,SBrkr,0,0,1324,3,1,TA,6,Typ,1,TA,Attchd,RFn,2,TA,TA,Y,0,138,0,0,0,12,2006,WD,Abnorml,160000,5.204119982655925,2.0,Wood,NAmes,Wood
20,RL,16905,Pave,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,1350,GasA,Gd,Y,SBrkr,0,0,1328,2,1,TA,5,Typ,2,Gd,Attchd,RFn,1,TA,TA,P,0,104,0,0,0,7,2007,WD,Normal,170000,5.230448921378274,2.0,Vinly,Timber,Vinly
85,RL,9180,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,840,GasA,Gd,Y,SBrkr,0,0,884,2,1,Gd,5,Typ,0,,Attchd,RFn,2,TA,Gd,Y,240,0,0,0,0,12,2007,WD,Normal,144000,5.158362492095249,2.0,Wood,SawyerW,Wood
20,RL,9200,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,938,GasA,TA,Y,SBrkr,0,0,938,3,1,TA,5,Typ,0,,Detchd,Unf,1,TA,TA,Y,145,0,0,0,0,7,2008,WD,Normal,130250,5.114777731971562,2.0,Vinly,CollgCr,Vinly
20,RL,7945,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,1150,GasA,Ex,Y,FuseA,0,0,1150,3,1,TA,6,Typ,0,,Attchd,RFn,1,TA,TA,Y,0,0,0,0,0,5,2006,WD,Normal,141000,5.14921911265538,2.0,Brick,NAmes,Brick
120,RL,7658,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456,Unf,0,1296,1752,GasA,Ex,Y,SBrkr,0,0,1752,2,1,Ex,6,Typ,1,Gd,Attchd,RFn,2,TA,TA,Y,196,82,0,0,0,2,2010,WD,Normal,319900,5.505014240084107,3.0,Metal,NridgHt,Metal
50,RL,12822,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1351,Unf,0,83,1434,GasA,Ex,Y,SBrkr,631,0,2149,1,1,Gd,6,Typ,1,Ex,Attchd,RFn,2,TA,TA,Y,168,43,0,0,198,8,2009,WD,Abnorml,239686,5.3796426677411535,2.5,Vinly,Mitchel,Vinly
20,FV,11096,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,GasA,Ex,Y,SBrkr,0,0,1656,3,1,Gd,7,Typ,0,,Attchd,RFn,3,TA,TA,Y,0,146,0,0,0,7,2007,WD,Normal,249700,5.397418542351348,2.0,Vinly,Somerst,Vinly
190,RM,4456,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,4,5,1920,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,736,736,GasA,Gd,Y,SBrkr,716,0,1452,2,3,TA,8,Typ,0,,,,0,,,N,0,0,102,0,0,6,2009,New,Partial,113000,5.05307844348342,2.0,Metal,OldTown,Metal
20,RL,7742,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1966,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,763,Unf,0,192,955,GasA,Ex,Y,SBrkr,0,0,955,3,1,TA,6,Typ,0,,Attchd,Unf,1,TA,TA,Y,0,0,0,0,0,1,2007,WD,Normal,127000,5.103803720955957,2.0,Wood,Sawyer,Wood
60,RL,13869,Pave,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1997,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,Av,GLQ,182,Unf,0,612,794,GasA,Gd,Y,SBrkr,676,0,1470,3,1,TA,6,Typ,0,,Attchd,Fin,2,TA,TA,Y,0,75,0,0,0,7,2007,WD,Normal,177000,5.247973266361806,2.5,Vinly,Gilbert,Vinly
50,RM,6240,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,6,1934,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,816,816,GasA,TA,Y,SBrkr,0,360,1176,3,1,TA,6,Typ,1,Gd,Detchd,Unf,2,TA,TA,Y,112,0,0,0,0,9,2006,WD,Normal,114500,5.058805486675907,1.0,Wood,BrkSide,Wood
90,RM,8472,Grvl,IR2,Bnk,AllPub,Corner,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,5,5,1963,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Fa,TA,CBlock,Gd,TA,Gd,LwQ,104,GLQ,712,0,816,GasA,TA,N,SBrkr,0,0,816,2,1,TA,5,Typ,0,,CarPort,Unf,2,TA,TA,Y,106,0,0,0,0,5,2010,WD,Normal,110000,5.041392685158225,2.0,Wood,IDOTRR,Wood
